"","word","freq"
"transformar","transformar",11
"turma","turma",11
"tvglobo","tvglobo",11
"twitter","twitter",11
"verdades","verdades",11
"viaja","viaja",11
"votando","votando",11
"zero","zero",11
"ótima","ótima",11
"últimos","últimos",11
"aguento","aguento",10
"ali","ali",10
"apostar","apostar",10
"apresentadores","apresentadores",10
"assisti","assisti",10
"assunto","assunto",10
"bancada","bancada",10
"bandido","bandido",10
"basta","basta",10
"boner","boner",10
"boçal","boçal",10
"cair","cair",10
"candidatar","candidatar",10
"capacitado","capacitado",10
"certa","certa",10
"cirão","cirão",10
"citou","citou",10
"combater","combater",10
"comentários","comentários",10
"começo","começo",10
"competente","competente",10
"comprar","comprar",10
"compromisso","compromisso",10
"concordar","concordar",10
"condições","condições",10
"continua","continua",10
"criar","criar",10
"defeitos","defeitos",10
"eixopolitico","eixopolitico",10
"embora","embora",10
"equipe","equipe",10
"escutar","escutar",10
"eterno","eterno",10
"experiência","experiência",10
"fascista","fascista",10
"frases","frases",10
"gostava","gostava",10
"horário","horário",10
"imagem","imagem",10
"imposto","imposto",10
"interromper","interromper",10
"irei","irei",10
"língua","língua",10
"medicado","medicado",10
"melhores","melhores",10
"mentir","mentir",10
"meses","meses",10
"metade","metade",10
"meter","meter",10
"mostrando","mostrando",10
"mudança","mudança",10
"mãos","mãos",10
"negócio","negócio",10
"parede","parede",10
"passo","passo",10
"pauta","pauta",10
"principais","principais",10
"professor","professor",10
"pronto","pronto",10
"própria","própria",10
"próxima","próxima",10
"rabo","rabo",10
"rei","rei",10
"respondendo","respondendo",10
"rápido","rápido",10
"sabem","sabem",10
"safado","safado",10
"santo","santo",10
"serem","serem",10
"site","site",10
"social","social",10
"suficiente","suficiente",10
"tadinho","tadinho",10
"terminar","terminar",10
"total","total",10
"tranquilo","tranquilo",10
"unir","unir",10
"verdadeiro","verdadeiro",10
"voltou","voltou",10
"água","água",10
"abre","abre",9
"acham","acham",9
"aguardando","aguardando",9
"andrejanonesadv","andrejanonesadv",9
"ansiosa","ansiosa",9
"apresentou","apresentou",9
"argumentos","argumentos",9
"autoestima","autoestima",9
"batendo","batendo",9
"bonita","bonita",9
"bonitinho","bonitinho",9
"cadê","cadê",9
"caminho","caminho",9
"cansa","cansa",9
"certamente","certamente",9
"clara","clara",9
"collor","collor",9
"comentar","comentar",9
"conteúdo","conteúdo",9
"convence","convence",9
"coragem","coragem",9
"culpa","culpa",9
"curso","curso",9
"deixaram","deixaram",9
"dona","dona",9
"dormir","dormir",9
"dps","dps",9
"dó","dó",9
"dúvidas","dúvidas",9
"econômica","econômica",9
"ego","ego",9
"erros","erros",9
"esqueci","esqueci",9
"etc","etc",9
"fale","fale",9
"faltou","faltou",9
"fazem","fazem",9
"fdp","fdp",9
"feliz","feliz",9
"fofinho","fofinho",9
"fuder","fuder",9
"funciona","funciona",9
"ganharia","ganharia",9
"hahaha","hahaha",9
"ignorância","ignorância",9
"independente","independente",9
"informação","informação",9
"interrompendo","interrompendo",9
"inveja","inveja",9
"irmãos","irmãos",9
"jovens","jovens",9
"kkkkkkkkkkkk","kkkkkkkkkkkk",9
"kkkkkkkkkkkkk","kkkkkkkkkkkkk",9
"levantando","levantando",9
"limpa","limpa",9
"limpar","limpar",9
"lógica","lógica",9
"mendlowicz","mendlowicz",9
"menor","menor",9
"mesmos","mesmos",9
"metropoles","metropoles",9
"modo","modo",9
"momentos","momentos",9
"moro","moro",9
"neste","neste",9
"nojo","nojo",9
"oantagonista","oantagonista",9
"odeia","odeia",9
"olhando","olhando",9
"osso","osso",9
"paralelo","paralelo",9
"partir","partir",9
"passada","passada",9
"paulo","paulo",9
"perdendo","perdendo",9
"pergunto","pergunto",9
"picanha","picanha",9
"porrada","porrada",9
"poucos","poucos",9
"preparados","preparados",9
"promete","promete",9
"prova","prova",9
"pô","pô",9
"público","público",9
"qualidade","qualidade",9
"quantos","quantos",9
"questões","questões",9
"quê","quê",9
"repetir","repetir",9
"retórica","retórica",9
"rindo","rindo",9
"rsrs","rsrs",9
"saindo","saindo",9
"saiu","saiu",9
"salário","salário",9
"segue","segue",9
"semana","semana",9
"sobrou","sobrou",9
"sonhador","sonhador",9
"sozinho","sozinho",9
"tigrão","tigrão",9
"urgente","urgente",9
"vdd","vdd",9
"vender","vender",9
"versão","versão",9
"viva","viva",9
"viver","viver",9
"viável","viável",9
"votam","votam",9
"votava","votava",9
"ótimas","ótimas",9
"absolutamente","absolutamente",8
"acompanhando","acompanhando",8
"aconteceu","aconteceu",8
"acreditar","acreditar",8
"alckmin","alckmin",8
"aliado","aliado",8
"aliança","aliança",8
"alianças","alianças",8
"alto","alto",8
"ama","ama",8
"análise","análise",8
"aparentemente","aparentemente",8
"aposto","aposto",8
"apresentando","apresentando",8
"aprimeiravia","aprimeiravia",8
"ataques","ataques",8
"biroliro","biroliro",8
"brasilcironojn","brasilcironojn",8
"burrice","burrice",8
"cala","cala",8
"carisma","carisma",8
"centavos","centavos",8
"centralreality","centralreality",8
"cheguei","cheguei",8
"chocado","chocado",8
"clareza","clareza",8
"clima","clima",8
"conheço","conheço",8
"conquistar","conquistar",8
"contas","contas",8
"conto","conto",8
"correr","correr",8
"costa","costa",8
"cruise","cruise",8
"cultura","cultura",8
"daciolo","daciolo",8
"daquele","daquele",8
"daí","daí",8
"deboche","deboche",8
"defende","defende",8
"dessas","dessas",8
"desta","desta",8
"diálogo","diálogo",8
"doente","doente",8
"duvido","duvido",8
"energia","energia",8
"entenda","entenda",8
"entretenimento","entretenimento",8
"esperava","esperava",8
"estranho","estranho",8
"evitar","evitar",8
"explicando","explicando",8
"facilmente","facilmente",8
"faculdade","faculdade",8
"faria","faria",8
"federal","federal",8
"feita","feita",8
"fiquei","fiquei",8
"fiz","fiz",8
"ganhe","ganhe",8
"genial","genial",8
"gestão","gestão",8
"governos","governos",8
"ideal","ideal",8
"igorsantosxz","igorsantosxz",8
"importa","importa",8
"intenções","intenções",8
"ironia","ironia",8
"irão","irão",8
"jogando","jogando",8
"juro","juro",8
"krl","krl",8
"lados","lados",8
"lamentável","lamentável",8
"lançou","lançou",8
"ligar","ligar",8
"linguajar","linguajar",8
"local","local",8
"loucura","loucura",8
"líder","líder",8
"mandar","mandar",8
"maravilhas","maravilhas",8
"meia","meia",8
"meme","meme",8
"mentindo","mentindo",8
"metendo","metendo",8
"mito","mito",8
"moral","moral",8
"mudou","mudou",8
"mídia","mídia",8
"neto","neto",8
"ouvi","ouvi",8
"paga","paga",8
"parecem","parecem",8
"parecer","parecer",8
"passam","passam",8
"patético","patético",8
"peguei","peguei",8
"pensa","pensa",8
"pensei","pensei",8
"perdido","perdido",8
"perfeita","perfeita",8
"perto","perto",8
"pica","pica",8
"polícia","polícia",8
"políticas","políticas",8
"portugal","portugal",8
"posição","posição",8
"propõe","propõe",8
"psicopata","psicopata",8
"péssimo","péssimo",8
"qdo","qdo",8
"quanta","quanta",8
"renatorovai","renatorovai",8
"repare","repare",8
"rio","rio",8
"salvador","salvador",8
"silva","silva",8
"soluções","soluções",8
"stf","stf",8
"top","top",8
"trabalha","trabalha",8
"tranquilamente","tranquilamente",8
"utópico","utópico",8
"valor","valor",8
"vei","vei",8
"veio","veio",8
"vejam","vejam",8
"veremos","veremos",8
"vir","vir",8
"vitória","vitória",8
"xingar","xingar",8
"época","época",8
"últimas","últimas",8
"aberta","aberta",7
"abissal","abissal",7
"acorda","acorda",7
"admitir","admitir",7
"aiai","aiai",7
"alguem","alguem",7
"amado","amado",7
"américa","américa",7
"aparece","aparece",7
"arrogante","arrogante",7
"assista","assista",7
"bchartsnet","bchartsnet",7
"blogdonoblat","blogdonoblat",7
"blá","blá",7
"bolão","bolão",7
"branco","branco",7
"brazilfight","brazilfight",7
"capital","capital",7
"caráter","caráter",7
"centro","centro",7
"chamado","chamado",7
"chamou","chamou",7
"chata","chata",7
"chocada","chocada",7
"circo","circo",7
"começando","começando",7
"concorrendo","concorrendo",7
"consciência","consciência",7
"conseguindo","conseguindo",7
"contexto","contexto",7
"controle","controle",7
"convencer","convencer",7
"convincente","convincente",7
"critica","critica",7
"criticar","criticar",7
"crédito","crédito",7
"cumprir","cumprir",7
"curioso","curioso",7
"céu","céu",7
"debater","debater",7
"democrata","democrata",7
"deputado","deputado",7
"derrotar","derrotar",7
"desequilibrado","desequilibrado",7
"desiste","desiste",7
"diante","diante",7
"diferentes","diferentes",7
"drmarcosfalcao","drmarcosfalcao",7
"ein","ein",7
"eloquente","eloquente",7
"empresários","empresários",7
"enfim","enfim",7
"errou","errou",7
"esperar","esperar",7
"esqueceu","esqueceu",7
"esquerdista","esquerdista",7
"eventual","eventual",7
"expor","expor",7
"fabiofaria","fabiofaria",7
"falam","falam",7
"falará","falará",7
"famílias","famílias",7
"fanatismo","fanatismo",7
"feio","feio",7
"ferreira","ferreira",7
"ficha","ficha",7
"focar","focar",7
"foco","foco",7
"fodase","fodase",7
"fofo","fofo",7
"forabolsonaro","forabolsonaro",7
"foto","foto",7
"ganância","ganância",7
"gomescironojn","gomescironojn",7
"governou","governou",7
"horror","horror",7
