"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","class"
"387",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"388",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"389",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"390",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"391",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"392",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"393",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"394",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"395",0,0,0,0,1,0,0,2,0,2,"POSITIVO"
"396",0,1,0,1,1,1,0,1,1,1,"NEUTRO"
"397",0,1,0,0,0,0,0,1,0,1,"POSITIVO"
"398",0,1,0,0,0,0,0,1,0,1,"POSITIVO"
"399",1,0,1,1,0,1,1,0,1,0,"NEGATIVO"
"400",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"401",0,2,0,0,0,0,1,2,0,2,"POSITIVO"
"402",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"403",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"404",0,0,0,0,0,1,0,0,1,0,"NEGATIVO"
"405",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"406",0,0,1,0,0,1,1,1,2,0,"NEGATIVO"
"407",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"408",0,0,0,0,0,1,0,0,2,0,"NEGATIVO"
"409",0,0,0,0,0,0,0,2,0,2,"POSITIVO"
"410",0,0,0,1,0,1,0,0,1,0,"NEGATIVO"
"411",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"412",0,0,0,0,2,0,1,1,0,4,"POSITIVO"
"413",1,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"414",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"415",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"416",0,1,0,0,0,0,0,0,1,1,"NEUTRO"
"417",0,0,0,0,0,0,1,2,0,2,"POSITIVO"
"418",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"419",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"420",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"421",0,1,0,0,1,0,1,1,0,1,"POSITIVO"
"422",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"423",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"424",1,0,0,1,0,2,0,0,1,1,"NEUTRO"
"425",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"426",0,0,0,0,1,0,0,1,0,1,"POSITIVO"
"427",2,0,0,0,0,0,0,0,4,2,"NEGATIVO"
"428",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"429",2,4,0,0,5,2,2,5,2,5,"POSITIVO"
