"","word","freq"
"feio","feio",6
"felipeneto","felipeneto",6
"fiz","fiz",6
"folha","folha",6
"fortunas","fortunas",6
"fã","fã",6
"ganharia","ganharia",6
"grana","grana",6
"gratuita","gratuita",6
"grupo","grupo",6
"heldermaldonado","heldermaldonado",6
"horrível","horrível",6
"injusto","injusto",6
"inteligência","inteligência",6
"intencionada","intencionada",6
"janeiro","janeiro",6
"jessie","jessie",6
"jornalnacionalentrevistacandidatos","jornalnacionalentrevistacandidatos",6
"juro","juro",6
"kennedyalencar","kennedyalencar",6
"leandroruschel","leandroruschel",6
"legal","legal",6
"lembrou","lembrou",6
"leva","leva",6
"liguei","liguei",6
"linha","linha",6
"link","link",6
"lulinha","lulinha",6
"manda","manda",6
"mara","mara",6
"melo","melo",6
"menina","menina",6
"mentiras","mentiras",6
"mercado","mercado",6
"morning","morning",6
"moça","moça",6
"muitos","muitos",6
"média","média",6
"mínima","mínima",6
"ngm","ngm",6
"nisso","nisso",6
"noção","noção",6
"números","números",6
"obrigada","obrigada",6
"olho","olho",6
"pagar","pagar",6
"palco","palco",6
"pancada","pancada",6
"parecendo","parecendo",6
"pec","pec",6
"pega","pega",6
"pegou","pegou",6
"perdoe","perdoe",6
"permite","permite",6
"pescar","pescar",6
"pesquisar","pesquisar",6
"piada","piada",6
"planeta","planeta",6
"planos","planos",6
"plena","plena",6
"podemos","podemos",6
"poderiam","poderiam",6
"ponte","ponte",6
"pouca","pouca",6
"pras","pras",6
"precisam","precisam",6
"precisamos","precisamos",6
"preparado","preparado",6
"preparados","preparados",6
"pretende","pretende",6
"primeiras","primeiras",6
"principalmente","principalmente",6
"pronta","pronta",6
"péricles","péricles",6
"quantas","quantas",6
"queremos","queremos",6
"querida","querida",6
"quinta","quinta",6
"redação","redação",6
"reinaldoazevedo","reinaldoazevedo",6
"rir","rir",6
"robin","robin",6
"robô","robô",6
"rsrs","rsrs",6
"salário","salário",6
"sapato","sapato",6
"serem","serem",6
"simonte","simonte",6
"sozinha","sozinha",6
"srpraca","srpraca",6
"sus","sus",6
"sérgio","sérgio",6
"tabet","tabet",6
"taoquei","taoquei",6
"tebetsó","tebetsó",6
"tempos","tempos",6
"tenta","tenta",6
"teoria","teoria",6
"tom","tom",6
"tomara","tomara",6
"trazer","trazer",6
"universo","universo",6
"ué","ué",6
"valor","valor",6
"viniciuscfp","viniciuscfp",6
"visão","visão",6
"voltar","voltar",6
"ótimas","ótimas",6
"últimos","últimos",6
"únicos","únicos",6
"útil","útil",6
"abismo","abismo",5
"absurdo","absurdo",5
"achar","achar",5
"acordo","acordo",5
"advogada","advogada",5
"agr","agr",5
"aguenta","aguenta",5
"ajudar","ajudar",5
"amei","amei",5
"anjos","anjos",5
"apresentadores","apresentadores",5
"aproveitar","aproveitar",5
"argumentos","argumentos",5
"arrasando","arrasando",5
"arrasou","arrasou",5
"artificial","artificial",5
