"","Bolsonaro","Lula","Ciro","Tebet"
"9172","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"2638","NEGATIVO","POSITIVO","POSITIVO","NEGATIVO"
"737","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"3406","NEGATIVO","NEGATIVO","POSITIVO","POSITIVO"
"8358","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"2558","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
"8010","POSITIVO","NEUTRO","POSITIVO","POSITIVO"
"5430","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"6559","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"8433","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"7874","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"722","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"4800","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"5766","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"3858","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"3418","POSITIVO","NEUTRO","NEGATIVO","NEUTRO"
"202","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"1669","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"1430","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"2398","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"3016","POSITIVO","NEGATIVO","POSITIVO","NEUTRO"
"3623","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"3407","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"5279","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"5212","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"5045","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"3120","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"7195","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"6733","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"1632","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"3424","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"5073","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"5609","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"3560","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1408","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"7808","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"4436","NEUTRO","NEGATIVO","POSITIVO","NEGATIVO"
"5977","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"5984","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"2486","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"6373","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"4590","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"8175","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"1203","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"3802","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"1197","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"1709","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"253","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"5181","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"3553","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"2114","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"88","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"2744","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"1587","NEGATIVO","NEGATIVO","NEUTRO","NEUTRO"
"6024","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"6898","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"8729","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"4253","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"1573","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"3012","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"5524","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"782","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"3385","POSITIVO","POSITIVO","NEGATIVO","NEUTRO"
"1362","POSITIVO","NEUTRO","NEGATIVO","NEUTRO"
"2008","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"2620","POSITIVO","NEUTRO","NEGATIVO","NEUTRO"
"838","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"3972","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"2309","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"3417","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"2438","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"8111","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"656","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"6118","NEUTRO","NEGATIVO","NEGATIVO","POSITIVO"
"6342","NEGATIVO","NEUTRO","NEGATIVO","NEGATIVO"
"8967","POSITIVO","NEGATIVO","NEGATIVO","NEUTRO"
"4978","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"8165","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"5043","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"7221","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"879","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"8760","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"1976","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"71","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
